partNo,hsnCode,description,productGroup,category,uom,gstPct,piePrice,elgiPrice,reorderLevel,safetyStock,defaultBinId,notes
B002104020006,90269000,PRESSURE GAUGE GF 0 TO 6 BAR,OFSAC Spares,OFSAC Spares,Nos,18,4698,,,,,
B002105840003,,PR.GAUGE WAREE(0-14 Kg/cm^2),EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,3066,3281,,,,
B002106840003,90262000,PRESSURE GAUGE 0-16 Kg/cm2,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,3734,3996,,,,
B00217050001,,930EI0038-PRESSURE GAUGE,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,11864,12695,,,,
B00217050002,,930EI0041-DIFF. PRESSURE GAUGE,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,32937,35243,,,,
B002200510001,90322090,DIFF PRESS SWITCH RT262A,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,21708,23228,,,,
B002205480001,,SELECTOR SWITCH,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,2331,2495,,,,
B002305480001,,FRL,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,15563,16653,,,,
B002305480004,,MINT MODULE AI-08,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,17595,18827,,,,
B002305480005,,8-CHANNEL RELAY BANK,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,6974,7463,,,,
B002305480006,,S2VMR - MILINEC,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,8369,8955,,,,
B002703900001,,601015 HOOTER,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,3012,3223,,,,
B003100270002,84811000,BALL VALVE 1 1/4,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,1591,1703,,,,
B003100270007,84818090,21/2INCH BSPF-F BALLVALVE-225C,OFSAC Spares,OFSAC Spares,Nos,18,34323,,,,,
B003101230001,84149019,G1/2 KNOB TYPE BALL VALVE,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,1156,1237,,,,
B003105390005,,"1/4"" MALE X 1/4"" FEMALE BALL V",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,473,507,,,,
B003106100001,84144090,Ball Valve 3,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,26231,28068,,,,
B003108020003,,1'' 3-WAY BALL VALVE,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,18764,20078,,,,
B003108020004,,3/4' 3 WAY BALL VALVE,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,18077,19343,,,,
B003108020005,,1/2'' 3-WAY BALL VALVE,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,14995,16045,,,,
B00317050002,,930EI0011-4 WAY CHANGE O VALVE,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,320951,343418,,,,
B003200270002,84818030,3 INCH BALL VALVE FLG 225 C,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,105051,112405,,,,
B003200270003,,4INCH BALLVALVE FLG 225C,OFSAC Spares,OFSAC Spares,Nos,18,199423,,,,,
B003200380003,84818030,BALL VALVE 2IN.(F) ELECTRICAL,OFSAC Spares,OFSAC Spares,Nos,18,245507,,,,,
B003206870003,84818030,BALL VALVE 2.5IN ELE OP 230V,OFSAC Spares,OFSAC Spares,Nos,18,309590,,,,,
B003206870005,,S1 Valve ( SV11 ),EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,67373,72090,,,,
B003206870006,,S1 Valve ( SV17 ),EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,69415,74275,,,,
B003206870007,,S1 Valve ( SV24 ),EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,72681,77769,,,,
