partNo,hsnCode,description,productGroup,category,uom,gstPct,piePrice,elgiPrice,reorderLevel,safetyStock,defaultBinId,notes
15404550,,PIPE WITH FLANGE - 2 1/2 TANK,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,5430,5811,,,,
15404558,84149019,HOSE SET EG-22,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,17175,18378,,,,
15404559,,BASE-COVER PLATE EG-22,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,1252,1340,,,,
15404564,40092200,HOSE SET EV18-22,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,17807,19054,,,,
15404726,,MOTOR ARRESTING BRACKET,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,382,409,,,,
15404801,84149019,THERMAL VALVE PLUG EG75,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,688,737,,,,
15404858,84149019,BUSH EG-55,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,1598,1710,,,,
15404906,40169390,RUBBER REDUCER,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,1167,1249,,,,
15404907,84149019,M20 - WASHER PLATE,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,265,284,,,,
15404908,,PRE FILTER,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,571,611,,,,
15405005,,SAFETYVALVEGUARDF6P50HZ,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,934,1000,,,,
15405010,,BUSH - 50MM,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,244,262,,,,
15405011,,SCAVENGING LINE 1/8'' BSP,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,2603,2786,,,,
15405013,,GUIDE PIN ADAPTOR RING,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,394,422,,,,
15405034,,MASKING PLATE 100MM,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,278,298,,,,
15405035,,MASKING PLATE 120MM,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,315,338,,,,
15405036,,MASKING PLATE 90MM,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,265,284,,,,
15405074,,THERMOSTATIC VALVE PLUG,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,589,631,,,,
15405077,,Gasket – EG75,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,1355,1450,,,,
15405101,,MASKING PLATE 80MM,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,265,284,,,,
15405102,,MASKING PLATE 90MM,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,293,314,,,,
15405103,,MASKING PLATE 110MM,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,348,373,,,,
15405104,,MASKING PLATE 150MM,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,469,502,,,,
15405127,,FLANGE ORIFICE E160,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,2211,2366,,,,
15405273,,DRYER MTG BRACKET ELGI 80,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,862,923,,,,
15405282,,"GASKET, SV 11",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,148,159,,,,
15405285,,HEX PLUG M18,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,187,201,,,,
15405290,,"GASKET, SV SIDE",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,178,191,,,,
15405293,,"GASKET, SV SIDE",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,160,172,,,,
15405350,,"GASKET RH , A/E SIDE",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,195,209,,,,
15405351,,"GASKET LH , A/E SIDE",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,183,196,,,,
15405352,,"GASKET , A/E SIDE",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,214,229,,,,
15405353,,"GASKET , A/E SIDE",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,152,163,,,,
15405354,,"GASKET , A/E SIDE",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,152,163,,,,
15405355,,GASKET AIREND SIDE,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,219,235,,,,
15405361,,PRE FILTER-DM,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,179,192,,,,
15405389,,PRE FILTER - 55-75 DM,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,352,377,,,,
176-4696805-F,,CHISEL- OLS 1700,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,132924,142229,,,,
18302420,,STICKER MIMIC STD EPSAC,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,6079,6505,,,,
18360326,85369090,HEAVY DUTY DS PLUG -E45 TRLY,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,20816,22274,,,,
18360327,85369090,HEAVY DUTY DS SOCKET -E45 TRLY,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,35038,37491,,,,
18360329,,CNTL.PANEL E45 TRLY,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,145056,155210,,,,
18360401,84149019,EXAUST FAN 6 inch 110V,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,6101,6529,,,,
18360422,84149019,SINGLE PHASE PREVENTER,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,4753,5086,,,,
18360481,85371000,CNTL.PANEL E22_400V NEURON+,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,40674,43522,,,,
18360483,85371000,CNTL.PANEL E37_400V NEURON+,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,93553,100102,,,,
18360485,,CNTL.PANEL E55_400V NEURON+,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,171039,183012,,,,
18360490,,WIRE HARNESS ASSY E55_400V,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,16385,17532,,,,
18360493,,CNTL.WIRE ASSY E45and E55_400V,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,3961,4239,,,,
18360502,,CNTL.PANEL ET11_BD,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,44749,47882,,,,
18360510,,CNTL. WIRE HARNESS E75_NEURON,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,1819,1947,,,,
18360540,,PLC System - COFMOW,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,177168,189570,,,,
18360574,,CONTROL PANEL LS05 (DOMESTIC),EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,23788,25454,,,,
18360643,,Press Sleeve 0.75 SQMM,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,8,9,,,,
18360645,85041010,CT 3CT-100 200/5A,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,665,712,,,,
18360805,,Control Panel E110 W/SH,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,274017,293199,,,,
18360880,85041010,CT 3CT400 400/5A,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,769,823,,,,
18360899,,PLC Accessories AB GWP,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,253097,270814,,,,
18360970,,CONTROL PANEL E75 SF1.2 NEU+,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,157630,168665,,,,
18361034,,"CONTROL PANEL E11,400V_NEU II",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,46009,49230,,,,
18361035,85371000,"CONTROL PANEL E15,400V_NEU+",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,32998,35308,,,,
18361036,85371000,"CONTROL PANEL E18,400V_NEU II",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,81482,87186,,,,
18361037,85371000,"CONTROL PANEL E22,400V_NEU+",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,73232,78359,,,,
18361038,,"CONTROL PANEL E30,400V_NEU II",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,112229,120086,,,,
18361041,,"CONTROL PANEL E55,400V_NEU II",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,142976,152985,,,,
18361053,,"AXIAL FAN 150W,230V,60HZ",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,10290,11011,,,,
18361142,85371000,"CNTRL PNL E30,400V,50HZ,VE NII",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,61702,66022,,,,
18361143,85371000,"CNTRL PANEL E37,400V,50HZ VE N",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,105865,113276,,,,
18361144,85371000,"CNTRL PANEL E45,400V,50HZ VE N",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,84501,90417,,,,
18361152,85371000,"CNTRL PANEL E55,400V,50HZ N-II",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,128778,137793,,,,
18361162,,"CNTRL PNL EL07 270,415V-EM",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,344585,368706,,,,
18361175,,"Control Panel E160,415V,50Hz",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,356839,381818,,,,
18361181,,"CNTRL PANEL E110,415V,50HZ AC",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,654432,700243,,,,
18361182,85371000,"CNTRL PANEL E132,415V,50HZ AC",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,224738,240470,,,,
18361187,,CNTRL PANEL 5.5KW - P1 CON,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,30298,32419,,,,
18361188,,CP EG160 380-440V 50/60HZ,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,229925,246020,,,,
18361210,,"Control Panel E160,415V,NII-VE",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,665249,711817,,,,
18361215,85371000,"CNTRL PANEL EN5 ,400V,50HZ EU",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,36841,39420,,,,
18361258,85371000,CP EG110 380-440V 50/60HZ,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,190506,203842,,,,
18361270,,"CNTRL PNL E11,S/D,400V,NII-F2",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,38923,41648,,,,
18361271,85371000,"CNTRL PNL E15,S/D,400V,NII-F2",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,30033,32136,,,,
18361272,85371000,"CNTRL PNL E18,S/D,400V,NII-F2",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,45277,48447,,,,
