partNo,hsnCode,description,productGroup,category,uom,gstPct,piePrice,elgiPrice,reorderLevel,safetyStock,defaultBinId,notes
415300709,,HOSE ASSY WTR OC TO 2STG NH42,OFSAC Spares,OFSAC Spares,Nos,18,22615,24199,,,,Selling price derived at cost x 1.07
415300710,84149019,HOSE ASSY WTR SS TO FS NH42,OFSAC Spares,OFSAC Spares,Nos,18,10834,11593,,,,Selling price derived at cost x 1.07
415300711,40092200,HOSE ASSY WTR FS TO HDR NH42,OFSAC Spares,OFSAC Spares,Nos,18,11538,12346,,,,Selling price derived at cost x 1.07
415300712,83071000,HOSE ASSY IST OIL DRAIN NH42,OFSAC Spares,OFSAC Spares,Nos,18,11160,11942,,,,Selling price derived at cost x 1.07
415300713,84149019,HOSE ASSY 2ND OIL DRAIN NH42,OFSAC Spares,OFSAC Spares,Nos,18,8981,9610,,,,Selling price derived at cost x 1.07
415300714,,PIPE ASSY OIL INTAKE NH42,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,7219,7725,,,,
415300716,84149019,PIPE ASSY OIL PUMP TO O/C NH42,OFSAC Spares,OFSAC Spares,Nos,18,15159,16221,,,,Selling price derived at cost x 1.07
415300720,84149019,HOSE ASSY WTR AC INLET NH42,OFSAC Spares,OFSAC Spares,Nos,18,39755,42538,,,,Selling price derived at cost x 1.07
415300735,,PIPE ASSY MS OUT-II INLET NH31,OFSAC Spares,OFSAC Spares,Nos,18,24096,25783,,,,Selling price derived at cost x 1.07
415300795,83071000,HOSE ASSY WATER IC INLET NH42,OFSAC Spares,OFSAC Spares,Nos,18,23414,25053,,,,Selling price derived at cost x 1.07
415300796,73044100,WATER PIPE AC INLET NO1 NH42,OFSAC Spares,OFSAC Spares,Nos,18,11305,12097,,,,Selling price derived at cost x 1.07
415300797,,WATER PIPE AC INLET NO2 NH42,OFSAC Spares,OFSAC Spares,Nos,18,19378,20735,,,,Selling price derived at cost x 1.07
415300798,83071000,HOSE ASSY WATER AC INLET NH42,OFSAC Spares,OFSAC Spares,Nos,18,35762,38266,,,,Selling price derived at cost x 1.07
415300799,83071000,HOSE ASSY WTR IC TO HEADER NH4,OFSAC Spares,OFSAC Spares,Nos,18,31064,33239,,,,Selling price derived at cost x 1.07
415300800,83071000,HOSE ASSY WTR AC TO HEADER NH4,OFSAC Spares,OFSAC Spares,Nos,18,34798,37234,,,,Selling price derived at cost x 1.07
415300801,83071000,HOSE ASSY WTR HDR TO OC IN NH4,OFSAC Spares,OFSAC Spares,Nos,18,10469,11202,,,,Selling price derived at cost x 1.07
415300802,83071000,HOSE ASSY WTR OC OUT TO AB NH4,OFSAC Spares,OFSAC Spares,Nos,18,16706,17876,,,,Selling price derived at cost x 1.07
415300803,,PIPE OIL PUMP INLET NH42,OFSAC Spares,OFSAC Spares,Nos,18,17102,18300,,,,Selling price derived at cost x 1.07
415300804,,PIPE PR.RLF TO GEAR CASE NH42,OFSAC Spares,OFSAC Spares,Nos,18,7615,8149,,,,Selling price derived at cost x 1.07
415300805,84149019,PIPE PR.RLF TO OIL FILTER NH42,OFSAC Spares,OFSAC Spares,Nos,18,7176,7679,,,,Selling price derived at cost x 1.07
415300806,84149019,HOSE ASSY BREATHER NH42,OFSAC Spares,OFSAC Spares,Nos,18,11197,11981,,,,Selling price derived at cost x 1.07
415300812,84149019,WATER PIPE IC TO AC NO.2 NH31,OFSAC Spares,OFSAC Spares,Nos,18,12217,13073,,,,Selling price derived at cost x 1.07
415300813,40092200,HOSE ASSY OC TO 2ND AB NH31,OFSAC Spares,OFSAC Spares,Nos,18,8366,8952,,,,Selling price derived at cost x 1.07
415300821,84149019,PIPE ASSY 1ST OUT TO IC IN M/C,OFSAC Spares,OFSAC Spares,Nos,18,20420,21850,,,,Selling price derived at cost x 1.07
415300822,84149019,PIPE ASSY MS OUT TO 2ND INLET,OFSAC Spares,OFSAC Spares,Nos,18,12293,13154,,,,Selling price derived at cost x 1.07
415300825,,AIR PIPING DS TO CCVA NE 265,OFSAC Spares,OFSAC Spares,Nos,18,9070,9705,,,,Selling price derived at cost x 1.07
415300827,84149019,HOSE 2ND OIL DRAIN NE265,OFSAC Spares,OFSAC Spares,Nos,18,5578,5969,,,,Selling price derived at cost x 1.07
415300836,,LEG - SUPPORT COOLER NE265,OFSAC Spares,OFSAC Spares,Nos,18,1751,1874,,,,Selling price derived at cost x 1.07
415300838,40092200,HOSE ASSY IC TO AC NE265,OFSAC Spares,OFSAC Spares,Nos,18,18192,19466,,,,Selling price derived at cost x 1.07
415300839,40092200,HOSE ASSY AFTERCOOLER TO HDR,OFSAC Spares,OFSAC Spares,Nos,18,18790,20106,,,,Selling price derived at cost x 1.07
415300840,83071000,"HOSE,WATER HEADER TO OC NE265",OFSAC Spares,OFSAC Spares,Nos,18,5279,5649,,,,Selling price derived at cost x 1.07
415300841,40092200,HOSE FLEX WATER O/C 2ND STAGE,OFSAC Spares,OFSAC Spares,Nos,18,8383,8970,,,,Selling price derived at cost x 1.07
415300843,40092200,HOSE FLEX WATER SS/FS NE265,OFSAC Spares,OFSAC Spares,Nos,18,6902,7386,,,,Selling price derived at cost x 1.07
415300844,84149019,WATER FLANGE WITH ELBOW,OFSAC Spares,OFSAC Spares,Nos,18,5780,6185,,,,Selling price derived at cost x 1.07
415300847,84149019,"PIPE,WATER 1AB TO HEADER NE265",OFSAC Spares,OFSAC Spares,Nos,18,5914,6328,,,,Selling price derived at cost x 1.07
415300891,84149019,PIPE ASSY OIL SUCTION,OFSAC Spares,OFSAC Spares,Nos,18,6601,7064,,,,Selling price derived at cost x 1.07
415300913,84149019,SUPPORT PRESSURE TRANSMITTER,OFSAC Spares,OFSAC Spares,Nos,18,1943,2080,,,,Selling price derived at cost x 1.07
415300965,84149019,FLANGE MOIST SEP - COATING,OFSAC Spares,OFSAC Spares,Nos,18,9371,10027,,,,Selling price derived at cost x 1.07
415300966,84149019,COVER MOIST SEP - COATING,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,7224,7730,,,,
415300967,,FLANGE MOIST SEP - M/C & COATI,OFSAC Spares,OFSAC Spares,Nos,18,8285,8865,,,,Selling price derived at cost x 1.07
415300968,,COVER MOIST SEP - M/C & COATIN,OFSAC Spares,OFSAC Spares,Nos,18,14415,15425,,,,Selling price derived at cost x 1.07
415300992,84149019,HOSE ASSY OC TO II AE,OFSAC Spares,OFSAC Spares,Nos,18,12415,13285,,,,Selling price derived at cost x 1.07
415300993,84149019,HOSE ASSY AFTER COOLER OUTLET,OFSAC Spares,OFSAC Spares,Nos,18,20555,21994,,,,Selling price derived at cost x 1.07
415300994,84149019,HOSE ASSY AFTER COOLER INLET,OFSAC Spares,OFSAC Spares,Nos,18,21129,22609,,,,Selling price derived at cost x 1.07
415301008,,MOIST SEPARATOR NE,OFSAC Spares,OFSAC Spares,Nos,18,47701,51041,,,,Selling price derived at cost x 1.07
415301017,,"HOSE, I ST OIL DRAIN, NE265",OFSAC Spares,OFSAC Spares,Nos,18,8688,9297,,,,Selling price derived at cost x 1.07
415301070,84149019,GEARCASE M/C DRY 128-102,OFSAC Spares,OFSAC Spares,Nos,18,261582,279893,,,,Selling price derived at cost x 1.07
415301071,84149019,FLANGE MOIST SEP - M/C & COAT,OFSAC Spares,OFSAC Spares,Nos,18,13634,14589,,,,Selling price derived at cost x 1.07
415301072,84149019,COVER MOIST SEP -M/C & COATIN,OFSAC Spares,OFSAC Spares,Nos,18,23685,25343,,,,Selling price derived at cost x 1.07
415301073,84149019,HOSE ASSY I A/E WATER OUT,OFSAC Spares,OFSAC Spares,Nos,18,10583,11324,,,,Selling price derived at cost x 1.07
415301075,84149019,HOSE ASSY II TO I A/E WATER,OFSAC Spares,OFSAC Spares,Nos,18,20359,21785,,,,Selling price derived at cost x 1.07
415301133,,SILENCER DISCHARGE,OFSAC Spares,OFSAC Spares,Nos,18,34313,36715,,,,Selling price derived at cost x 1.07
415301174,73044100,"PIPE ASSY., INTER COOLER INLET",OFSAC Spares,OFSAC Spares,Nos,18,4808,5145,,,,Selling price derived at cost x 1.07
415301175,73044100,PIPE ASSY. I A/E TO I/C,OFSAC Spares,OFSAC Spares,Nos,18,6509,6965,,,,Selling price derived at cost x 1.07
415301176,84149019,PIPE ASSY. II A/E INLET,OFSAC Spares,OFSAC Spares,Nos,18,15184,16247,,,,Selling price derived at cost x 1.07
415301182,84149019,PIPE ASSY. BREATHER LINE,OFSAC Spares,OFSAC Spares,Nos,18,8009,8570,,,,Selling price derived at cost x 1.07
415301183,,HOSE ASSY. AFTER COOLER INLET,OFSAC Spares,OFSAC Spares,Nos,18,20822,22280,,,,Selling price derived at cost x 1.07
415301184,,HOSE ASSY. AFTER COOLER OUTLET,OFSAC Spares,OFSAC Spares,Nos,18,22282,23842,,,,Selling price derived at cost x 1.07
415301185,83071000,HOSE ASSY. I A/E WATER OUT,OFSAC Spares,OFSAC Spares,Nos,18,11343,12138,,,,Selling price derived at cost x 1.07
415301187,83071000,HOSE ASSY. II A/E- I A/E WATER,OFSAC Spares,OFSAC Spares,Nos,18,17612,18845,,,,Selling price derived at cost x 1.07
415301288,,HOSE ASSY OIL COOLER WTR INLET,OFSAC Spares,OFSAC Spares,Nos,18,16181,17314,,,,Selling price derived at cost x 1.07
415301381,,HOSE ASSY. O/C TO 2ND AB,OFSAC Spares,OFSAC Spares,Nos,18,15195,16259,,,,Selling price derived at cost x 1.07
